Rank,Model,Mean scores,ar,de,de-en,de-fr,de-pl,en,es,es-en,es-it,fr,fr-pl,it,pl,pl-en,ru,tr,zh,zh-en
63,ibm-granite/granite-embedding-97m-multilingual-r2,68.07,64.75,59.84,62.36,51.35,58.32,67.50,72.68,82.04,74.57,82.79,61.98,78.25,47.01,81.11,66.53,68.80,73.56,71.92
64,LCO-Embedding/LCO-Embedding-Omni-7B,68.00,60.02,57.08,61.33,55.44,49.61,68.31,72.73,80.85,78.34,83.40,73.25,75.63,47.49,78.80,67.06,68.61,72.81,73.32
65,ibm-granite/granite-embedding-278m-multilingual,67.85,58.85,58.76,60.39,59.26,54.94,68.15,73.50,82.08,73.93,81.43,73.25,78.08,47.78,72.77,67.10,66.57,70.97,73.57
66,intfloat/e5-mistral-7b-instruct,67.58,57.37,49.13,61.81,60.81,54.47,67.29,72.37,78.16,77.37,80.15,84.52,75.81,44.75,74.92,65.15,71.21,68.77,72.41
67,Lajavaness/bilingual-embedding-base,67.54,61.49,59.57,59.38,61.04,45.05,64.27,73.97,79.23,77.18,81.71,73.25,79.52,44.22,76.86,68.18,68.58,72.36,69.93
68,ICT-TIME-and-Querit/BOOM_4B_v1,67.30,59.87,50.97,60.48,63.64,54.66,66.46,72.02,80.88,76.50,80.78,61.98,77.87,43.58,80.49,67.39,70.31,70.74,72.81
69,Salesforce/SFR-Embedding-2_R,67.16,55.54,47.51,61.82,60.76,52.20,67.05,71.31,80.41,76.24,80.45,84.52,74.39,46.76,79.10,62.60,69.68,66.33,72.12
70,omarelshehy/arabic-english-sts-matryoshka,67.06,64.08,55.33,59.60,53.49,51.43,64.40,70.83,78.42,71.71,79.66,84.52,76.65,45.50,70.74,65.61,68.59,74.67,71.80
71,codefuse-ai/F2LLM-v2-160M,67.05,62.63,50.96,57.75,60.41,47.58,65.23,70.17,78.72,74.74,80.52,73.25,75.32,44.35,80.44,66.74,68.68,73.59,75.89
72,ibm-granite/granite-embedding-107m-multilingual,66.57,56.09,55.30,57.63,66.08,58.97,67.58,71.45,81.67,73.06,82.75,61.98,74.92,43.08,75.14,64.80,63.85,71.12,72.78
73,BidirLM/BidirLM-0.6B-Embedding,66.54,60.08,49.98,58.17,69.59,51.24,65.63,73.00,78.60,75.24,74.89,61.98,75.86,42.57,77.64,67.26,69.06,73.22,73.78
74,openai/text-embedding-3-small,66.03,56.63,58.97,61.80,51.24,35.17,65.69,73.12,79.52,75.17,80.56,84.52,77.77,39.81,77.79,61.65,65.44,72.19,71.46
75,LCO-Embedding/LCO-Embedding-Omni-3B,65.91,59.99,51.74,58.45,55.04,45.70,68.52,71.38,79.67,77.05,82.41,61.98,74.14,45.93,78.40,63.42,67.31,71.47,73.86
76,intfloat/multilingual-e5-small,65.86,61.44,57.56,57.67,61.16,34.55,64.28,72.36,77.24,74.38,80.09,84.52,77.70,42.17,72.26,66.05,67.43,72.58,61.99
77,BidirLM/BidirLM-270M-Embedding,65.27,60.37,53.56,62.01,59.84,40.25,66.45,70.27,76.87,64.74,77.35,73.25,73.43,39.89,80.91,64.72,61.81,73.20,75.93
78,Gameselo/STS-multilingual-mpnet-base-v2,65.10,65.20,57.74,57.65,59.20,44.22,63.85,68.38,76.00,67.26,78.45,84.52,68.57,46.50,75.24,61.34,64.28,65.41,67.93
79,codefuse-ai/F2LLM-v2-80M,65.05,61.20,46.87,56.79,60.58,48.84,65.83,70.19,76.90,73.15,81.12,50.71,73.47,43.70,79.86,65.20,67.91,74.57,74.07
80,intfloat/multilingual-e5-base,64.60,61.05,55.95,57.49,58.98,39.35,62.26,71.92,76.27,68.76,75.25,73.25,77.71,39.44,72.72,65.23,65.98,71.05,70.19
81,Omartificial-Intelligence-Space/Arabic-labse-Matryoshka,64.49,60.58,51.23,58.03,60.94,55.34,63.77,69.53,77.10,67.54,78.89,61.98,73.72,44.73,73.08,62.04,62.96,68.41,70.94
82,manu/sentence_croissant_alpha_v0.4,64.41,56.29,42.10,63.91,59.78,40.68,66.36,69.79,79.80,71.94,83.64,84.52,76.81,41.29,72.86,63.24,54.49,68.72,63.11
83,intfloat/multilingual-e5-large,64.30,60.26,56.58,60.57,67.37,49.58,63.66,69.91,74.99,71.37,76.91,50.71,76.91,40.02,68.99,64.45,65.99,72.41,66.82
84,deepvk/USER-bge-m3,64.02,36.10,61.47,60.87,60.38,58.48,68.08,74.75,81.74,77.08,82.98,84.52,81.42,45.44,77.37,70.55,68.33,41.56,21.14
85,sentence-transformers/LaBSE,63.26,61.00,48.58,55.49,52.43,58.69,61.63,68.50,74.68,71.77,78.35,61.98,72.11,44.71,72.59,61.78,60.53,68.35,65.42
86,nvidia/NV-Embed-v1,62.51,40.88,49.69,60.89,55.23,45.88,66.01,74.97,76.73,70.74,79.95,50.71,76.35,36.47,78.06,61.44,65.54,69.11,66.62
87,manu/sentence_croissant_alpha_v0.3,62.48,54.71,40.91,62.06,59.23,30.98,66.88,67.58,80.39,67.76,82.12,84.52,74.91,40.42,68.90,61.75,50.09,67.93,63.55
88,McGill-NLP/LLM2Vec-Mistral-7B-Instruct-v2-mntp-supervised,62.03,43.75,45.91,61.11,56.47,54.32,67.29,68.41,75.71,72.31,78.10,61.98,68.03,44.45,70.81,62.11,57.82,58.55,69.50
89,NovaSearch/stella_en_400M_v5,62.00,47.52,50.98,61.97,63.79,42.22,67.46,69.16,80.60,71.95,81.24,73.25,75.24,38.94,73.20,40.97,57.45,61.86,58.25
90,Omartificial-Intelligence-Space/Arabic-all-nli-triplet-Matryoshka,61.78,54.46,45.16,57.50,55.80,49.21,61.85,63.69,72.89,65.33,73.93,73.25,66.26,40.98,78.13,63.08,55.95,65.66,68.94
91,sentence-transformers/paraphrase-multilingual-mpnet-base-v2,61.68,55.38,46.70,56.18,61.43,40.53,63.52,65.00,73.05,54.74,74.54,84.52,60.50,38.92,76.95,63.21,58.51,66.92,69.56
92,nvidia/NV-Embed-v2,61.40,39.79,47.70,60.08,52.64,29.56,66.20,73.70,73.01,66.87,77.63,84.52,75.12,34.57,69.71,60.68,63.39,68.52,61.58
93,Cohere/Cohere-embed-english-v3.0,60.17,41.57,43.61,58.67,67.18,40.65,68.18,65.94,76.21,70.45,81.47,84.52,73.00,41.60,71.17,40.08,55.89,54.14,48.82
94,minishlab/potion-multilingual-128M,60.11,59.51,44.77,55.84,48.05,37.94,62.47,65.36,71.60,63.09,75.29,73.25,71.97,38.86,65.58,62.26,50.43,72.40,63.29
95,Omartificial-Intelligence-Space/Arabic-MiniLM-L12-v2-all-nli-triplet,60.00,55.40,41.95,56.46,52.75,46.47,61.33,64.87,71.58,67.77,73.86,73.25,65.48,40.15,64.98,59.05,55.53,63.60,65.50
96,manu/sentence_croissant_alpha_v0.2,59.91,54.88,33.54,63.42,49.08,35.60,64.22,65.93,77.41,65.78,80.05,84.52,73.15,36.03,70.43,57.16,37.68,66.51,63.01
97,shibing624/text2vec-base-multilingual,58.48,57.69,46.89,48.73,48.27,39.32,63.49,63.13,70.08,51.41,74.46,73.25,65.74,40.14,63.04,58.50,59.03,67.15,62.39
98,nomic-ai/nomic-embed-text-v1-unsupervised,57.31,42.37,45.48,53.91,51.82,38.86,65.18,70.22,73.43,65.75,79.67,61.98,75.63,37.72,63.98,42.50,59.27,63.83,39.97
99,sentence-transformers/static-similarity-mrl-multilingual-v1,57.26,59.21,37.34,57.33,48.40,30.46,58.43,65.08,64.20,57.95,79.07,39.44,73.61,36.39,74.77,58.19,50.61,71.44,68.72
100,intfloat/e5-large-v2,56.98,47.00,38.45,54.88,59.48,40.19,67.20,66.53,73.93,67.09,79.07,84.52,70.93,37.19,51.00,37.84,55.81,54.87,39.73
101,nomic-ai/nomic-embed-text-v1-ablated,56.76,40.00,44.80,53.64,49.47,30.39,62.46,70.62,71.43,61.73,80.58,73.25,75.32,35.59,65.57,40.30,61.33,65.62,39.60
102,sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,56.70,49.08,44.64,57.25,50.80,44.22,62.07,60.79,69.87,48.37,70.64,50.71,55.05,38.42,71.91,60.98,55.24,63.61,66.88
103,nomic-ai/nomic-embed-text-v1,56.31,39.17,38.66,56.43,49.49,30.76,65.02,70.61,67.98,62.80,80.04,73.25,74.70,35.88,67.49,35.57,56.74,63.46,45.46
104,intfloat/e5-large,55.93,39.88,44.63,60.04,53.46,40.52,65.65,66.97,71.65,65.23,81.96,73.25,70.92,38.21,68.03,24.45,58.17,49.08,34.62
105,Haon-Chen/speed-embedding-7b-instruct,55.87,60.02,46.82,54.18,39.52,14.10,64.35,69.37,50.16,64.65,70.08,61.98,72.32,40.90,61.83,67.23,42.66,73.61,51.92
106,sdadas/mmlw-e5-large,54.79,39.40,42.63,56.59,50.22,25.41,66.84,64.03,68.30,61.16,77.57,84.52,69.62,27.86,73.13,32.62,51.66,44.55,50.05
107,thenlper/gte-large,54.71,37.75,39.64,53.90,57.29,29.72,69.91,65.70,66.07,72.09,81.57,28.17,70.67,44.93,66.99,41.28,53.44,60.48,45.19
108,cointegrated/LaBSE-en-ru,54.26,34.59,38.90,53.18,58.61,39.48,59.47,66.02,73.58,68.62,75.20,61.98,68.46,37.83,61.64,58.53,57.23,38.68,24.60
109,avsolatorio/GIST-large-Embedding-v0,53.71,34.43,42.09,57.05,51.17,34.30,70.10,65.32,70.63,63.19,80.72,39.44,67.48,39.59,66.34,32.96,46.89,58.50,46.50
110,McGill-NLP/LLM2Vec-Mistral-7B-Instruct-v2-mntp-unsup-simcse,53.37,44.66,44.03,57.18,22.93,29.50,66.98,63.72,59.80,65.81,67.15,84.52,60.85,38.33,52.30,53.22,37.47,58.44,53.75
111,sergeyzh/LaBSE-ru-turbo,52.92,32.43,32.62,49.50,47.28,36.40,63.10,62.10,71.29,58.32,74.81,73.25,65.88,34.55,68.68,62.89,49.96,36.65,32.80
112,thenlper/gte-small,52.70,21.15,32.13,48.46,59.24,37.01,68.15,62.76,63.85,64.98,77.53,73.25,69.30,42.38,50.14,25.79,50.33,58.16,43.93
